2013-12-20 at 13:49
Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
13:49:10 436.83 -1.00 -273.15 51.36 102.58 0.0839 -0.0146
13:49:30 409.05 -1.00 -273.15 51.36 102.57 0.0806 -0.0144
13:49:50 402.37 -1.00 -273.15 51.36 102.61 0.0797 -0.0144
13:50:10 333.59 -1.00 -273.15 51.36 102.60 0.0667 -0.0144
13:50:30 203.61 -1.00 -273.15 51.36 102.61 0.0447 -0.0144
13:50:50 100.08 -1.00 -273.15 51.36 102.62 0.0232 -0.0143
13:51:10 33.72 -1.00 -273.15 51.36 102.61 0.0082 -0.0143
13:51:31 10.74 -1.00 -273.15 51.36 102.61 0.0027 -0.0143
13:51:51 3.97 -1.00 -273.15 51.36 102.60 0.0010 -0.0143
13:52:11 1.94 -1.00 -273.15 51.36 102.60 0.0005 -0.0143
13:52:31 1.14 -1.00 -273.15 51.36 102.59 0.0003 -0.0143
13:52:51 0.85 -1.00 -273.15 51.36 102.61 0.0003 -0.0143
13:53:11 0.62 -1.00 -273.15 51.36 102.60 0.0002 -0.0143
13:53:31 0.46 -1.00 -273.15 51.36 102.59 0.0001 -0.0144
13:53:51 0.29 -1.00 -273.15 51.36 102.58 0.0001 -0.0144
13:54:11 0.16 -1.00 -273.15 51.36 102.58 0.0000 -0.0144
13:54:31 0.04 -1.00 -273.15 51.36 102.48 -0.0000 -0.0144
13:54:51 0.19 -1.00 -273.15 51.36 102.47 0.0001 -0.0143
13:55:11 0.35 -1.00 -273.15 51.36 102.46 0.0001 -0.0142
13:55:31 3.49 -1.00 -273.15 51.36 102.57 0.0013 -0.0138
13:55:51 5.28 -1.00 -273.15 51.36 102.59 0.0017 -0.0144
13:56:11 7.13 -1.00 -273.15 51.36 102.57 0.0022 -0.0145
13:56:31 53.26 -1.00 -273.15 51.36 102.59 0.0189 -0.0145
13:56:51 258.53 -1.00 -273.15 51.36 102.56 0.0604 -0.0146
13:57:11 379.61 -1.00 -273.15 51.36 102.58 0.0776 -0.0146
13:57:31 424.42 -1.00 -273.15 51.36 102.57 0.0833 -0.0145
13:57:51 440.11 -1.00 -273.15 51.36 102.57 0.0852 -0.0145
13:58:11 445.49 -1.00 -273.15 51.36 102.58 0.0859 -0.0145
13:58:31 447.66 -1.00 -273.15 51.36 102.57 0.0862 -0.0145
13:58:51 448.58 -1.00 -273.15 51.36 102.60 0.0863 -0.0144
13:59:11 449.16 -1.00 -273.15 51.36 102.62 0.0863 -0.0143
13:59:31 449.61 -1.00 -273.15 51.36 102.61 0.0864 -0.0142
13:59:51 449.92 -1.00 -273.15 51.36 102.60 0.0865 -0.0140
14:00:11 449.97 -1.00 -273.15 51.36 102.57 0.0865 -0.0141
14:00:31 449.97 -1.00 -273.15 51.36 102.47 0.0865 -0.0143
14:00:51 450.04 -1.00 -273.15 51.36 102.46 0.0865 -0.0143
14:01:11 450.04 -1.00 -273.15 51.36 102.46 0.0865 -0.0142
14:01:31 449.08 -1.00 -273.15 51.36 102.59 0.0863 -0.0139
14:01:51 448.96 -1.00 -273.15 51.36 102.62 0.0863 -0.0145
14:02:11 446.87 -1.00 -273.15 51.36 102.60 0.0857 -0.0146
14:02:31 393.62 -1.00 -273.15 51.36 102.61 0.0775 -0.0147
14:02:51 357.89 -1.00 -273.15 51.36 102.60 0.0729 -0.0146
14:03:11 350.41 -1.00 -273.15 51.36 102.61 0.0720 -0.0146
14:03:31 349.68 -1.00 -273.15 51.36 102.55 0.0719 -0.0147
14:03:51 349.75 -1.00 -273.15 51.36 102.55 0.0719 -0.0146
14:04:11 350.15 -1.00 -273.15 51.36 102.55 0.0719 -0.0146
14:04:31 350.31 -1.00 -273.15 51.36 102.54 0.0720 -0.0146
14:04:51 350.31 -1.00 -273.15 51.36 102.55 0.0720 -0.0146
14:05:11 350.46 -1.00 -273.15 51.36 102.55 0.0720 -0.0145
14:05:31 350.48 -1.00 -273.15 51.36 102.56 0.0720 -0.0145
14:05:51 350.65 -1.00 -273.15 51.36 102.54 0.0720 -0.0145
14:06:11 350.66 -1.00 -273.15 51.36 102.55 0.0721 -0.0145
14:06:31 350.63 -1.00 -273.15 51.36 102.48 0.0720 -0.0145
14:06:51 350.66 -1.00 -273.15 51.36 102.46 0.0720 -0.0144
14:07:11 350.59 -1.00 -273.15 51.36 102.46 0.0720 -0.0144
14:07:31 351.23 -1.00 -273.15 51.36 102.59 0.0721 -0.0143
14:07:51 350.96 -1.00 -273.15 51.36 102.60 0.0721 -0.0146
14:08:11 351.08 -1.00 -273.15 51.36 102.59 0.0721 -0.0147
14:08:31 358.20 -1.00 -273.15 51.36 102.60 0.0733 -0.0147
14:08:51 368.40 -1.00 -273.15 51.36 102.59 0.0749 -0.0147
14:09:11 375.08 -1.00 -273.15 51.36 102.61 0.0758 -0.0147
14:09:31 378.17 -1.00 -273.15 51.36 102.62 0.0762 -0.0147
14:09:51 379.72 -1.00 -273.15 51.36 102.61 0.0764 -0.0147
14:10:11 380.49 -1.00 -273.15 51.36 102.61 0.0766 -0.0147
14:10:31 381.14 -1.00 -273.15 51.36 102.61 0.0766 -0.0146
14:10:51 381.38 -1.00 -273.15 51.36 102.62 0.0767 -0.0146
14:11:11 381.81 -1.00 -273.15 51.36 102.62 0.0767 -0.0146
14:11:31 381.85 -1.00 -273.15 51.36 102.62 0.0767 -0.0146
14:11:51 382.02 -1.00 -273.15 51.36 102.62 0.0768 -0.0146
14:12:11 382.25 -1.00 -273.15 51.36 102.61 0.0768 -0.0146
14:12:31 382.27 -1.00 -273.15 51.36 102.49 0.0768 -0.0146
14:12:52 382.35 -1.00 -273.15 51.36 102.49 0.0768 -0.0145
14:13:12 382.22 -1.00 -273.15 51.36 102.49 0.0768 -0.0144
14:13:32 382.43 -1.00 -273.15 51.36 102.61 0.0768 -0.0146
14:13:52 382.55 -1.00 -273.15 51.36 102.59 0.0768 -0.0147
14:14:12 403.89 -1.00 -273.15 51.36 102.59 0.0808 -0.0147
14:14:32 438.76 -1.00 -273.15 51.36 102.58 0.0852 -0.0146
14:14:52 448.18 -1.00 -273.15 51.36 102.59 0.0863 -0.0145
14:15:12 449.79 -1.00 -273.15 51.36 102.58 0.0865 -0.0144
14:15:32 450.58 -1.00 -273.15 51.36 102.59 0.0866 -0.0143
14:15:52 450.77 -1.00 -273.15 51.36 102.58 0.0866 -0.0143
14:16:12 450.93 -1.00 -273.15 51.36 102.58 0.0866 -0.0142
14:16:32 450.85 -1.00 -273.15 51.36 102.58 0.0866 -0.0142
14:16:52 450.89 -1.00 -273.15 51.36 102.59 0.0866 -0.0142
14:17:12 450.87 -1.00 -273.15 51.36 102.59 0.0866 -0.0141
14:17:32 451.08 -1.00 -273.15 51.36 102.59 0.0866 -0.0141
14:17:52 451.20 -1.00 -273.15 51.36 102.58 0.0866 -0.0141
14:18:12 451.24 -1.00 -273.15 51.36 102.58 0.0866 -0.0141
14:18:32 450.99 -1.00 -273.15 51.36 102.48 0.0866 -0.0141
14:18:52 451.23 -1.00 -273.15 51.36 102.47 0.0867 -0.0140
14:19:12 451.14 -1.00 -273.15 51.36 102.48 0.0866 -0.0140
14:19:32 450.26 -1.00 -273.15 51.36 102.59 0.0865 -0.0142
14:19:52 450.74 -1.00 -273.15 51.36 102.61 0.0866 -0.0144
